rep	ct0	ct1	ct2	ct3	ct4	ct5	selected	convergent	rel_conv
1	1450	48	1	0	0	0	49	1	0.02040816326530612
10	1478	50	2	1	0	0	53	3	0.05660377358490566
100	1455	50	3	0	0	0	53	3	0.05660377358490566
1000	1478	50	2	0	0	0	52	2	0.038461538461538464
10000	1490	40	0	0	0	0	40	0	0
1001	1462	52	2	0	0	0	54	2	0.037037037037037035
1002	1460	50	0	0	0	0	50	0	0
1003	1464	48	3	0	0	0	51	3	0.058823529411764705
1004	1447	52	1	0	0	0	53	1	0.018867924528301886
1005	1470	43	1	0	0	0	44	1	0.022727272727272728
1006	1496	51	2	1	0	0	54	3	0.05555555555555555
1007	1455	43	1	1	0	0	45	2	0.044444444444444446
1008	1480	37	4	0	0	0	41	4	0.0975609756097561
1009	1435	42	2	0	0	0	44	2	0.045454545454545456
101	1501	45	4	0	0	0	49	4	0.08163265306122448
1010	1491	45	1	0	0	0	46	1	0.021739130434782608
1011	1491	48	4	0	0	0	52	4	0.07692307692307693
1012	1481	47	3	0	0	0	50	3	0.06
1013	1500	49	3	0	0	0	52	3	0.057692307692307696
1014	1454	36	2	0	0	0	38	2	0.05263157894736842
1015	1481	48	4	0	0	0	52	4	0.07692307692307693
1016	1456	44	1	0	0	0	45	1	0.022222222222222223
1017	1493	60	1	0	0	0	61	1	0.01639344262295082
1018	1473	40	6	1	0	0	47	7	0.14893617021276595
1019	1485	47	2	0	0	0	49	2	0.04081632653061224
102	1447	34	4	0	0	0	38	4	0.10526315789473684
1020	1469	28	3	0	0	0	31	3	0.0967741935483871
1021	1475	51	3	0	0	0	54	3	0.05555555555555555
1022	1468	53	4	0	0	0	57	4	0.07017543859649122
1023	1457	34	3	0	0	0	37	3	0.08108108108108109
1024	1507	55	3	0	0	0	58	3	0.05172413793103448
1025	1472	56	1	0	0	0	57	1	0.017543859649122806
1026	1497	37	1	0	0	0	38	1	0.02631578947368421
1027	1493	46	3	0	0	0	49	3	0.061224489795918366
1028	1483	33	0	0	0	0	33	0	0
1029	1472	45	2	0	0	0	47	2	0.0425531914893617
103	1446	54	3	1	0	0	58	4	0.06896551724137931
1030	1476	34	2	0	0	0	36	2	0.05555555555555555
1031	1483	61	1	0	0	0	62	1	0.016129032258064516
1032	1457	41	1	0	0	0	42	1	0.023809523809523808
1033	1453	51	3	1	0	0	55	4	0.07272727272727272
1034	1463	53	3	0	0	0	56	3	0.05357142857142857
1035	1433	57	4	0	0	0	61	4	0.06557377049180328
1036	1462	53	1	0	0	0	54	1	0.018518518518518517
1037	1489	44	1	0	0	0	45	1	0.022222222222222223
1038	1477	45	5	0	0	0	50	5	0.1
1039	1502	48	1	0	0	0	49	1	0.02040816326530612
104	1466	41	3	0	0	0	44	3	0.06818181818181818
1040	1459	54	3	0	0	0	57	3	0.05263157894736842
1041	1474	50	2	0	0	0	52	2	0.038461538461538464
1042	1498	47	2	0	0	0	49	2	0.04081632653061224
1043	1467	49	4	0	0	0	53	4	0.07547169811320754
1044	1444	55	3	0	0	0	58	3	0.05172413793103448
