rep	ct0	ct1	ct2	ct3	ct4	selected	convergent	rel_conv
1	5525	65	3	0	0	68	3	0.04411764705882353
10	5534	49	4	0	0	53	4	0.07547169811320754
100	5509	64	0	0	0	64	0	0
1000	5564	44	2	0	0	46	2	0.043478260869565216
10000	5503	51	3	0	0	54	3	0.05555555555555555
1001	5503	56	3	0	0	59	3	0.05084745762711865
1002	5535	50	1	0	0	51	1	0.0196078431372549
1003	5573	51	1	0	0	52	1	0.019230769230769232
1004	5558	52	2	0	0	54	2	0.037037037037037035
1005	5550	64	1	0	0	65	1	0.015384615384615385
1006	5566	58	2	1	0	61	3	0.04918032786885246
1007	5534	63	4	0	0	67	4	0.05970149253731343
1008	5486	55	1	1	0	57	2	0.03508771929824561
1009	5496	48	1	0	0	49	1	0.02040816326530612
101	5554	61	1	0	0	62	1	0.016129032258064516
1010	5506	60	2	0	0	62	2	0.03225806451612903
1011	5535	49	0	0	0	49	0	0
1012	5532	51	3	0	0	54	3	0.05555555555555555
1013	5508	57	2	0	0	59	2	0.03389830508474576
1014	5552	66	0	0	0	66	0	0
1015	5539	40	1	0	0	41	1	0.024390243902439025
1016	5554	46	4	0	0	50	4	0.08
1017	5513	69	0	0	0	69	0	0
1018	5525	70	4	0	0	74	4	0.05405405405405406
1019	5547	52	2	0	0	54	2	0.037037037037037035
102	5537	62	2	0	0	64	2	0.03125
1020	5546	54	2	0	0	56	2	0.03571428571428571
1021	5550	61	0	0	0	61	0	0
1022	5495	56	1	0	0	57	1	0.017543859649122806
1023	5542	43	1	0	0	44	1	0.022727272727272728
1024	5572	58	2	0	0	60	2	0.03333333333333333
1025	5508	55	3	0	0	58	3	0.05172413793103448
1026	5510	64	1	0	0	65	1	0.015384615384615385
1027	5560	72	1	0	0	73	1	0.0136986301369863
1028	5497	55	2	0	0	57	2	0.03508771929824561
1029	5521	57	1	0	0	58	1	0.017241379310344827
103	5501	54	0	0	0	54	0	0
1030	5546	49	5	1	0	55	6	0.10909090909090909
1031	5527	50	1	0	0	51	1	0.0196078431372549
1032	5560	49	0	0	0	49	0	0
1033	5590	61	1	0	0	62	1	0.016129032258064516
1034	5535	52	3	0	0	55	3	0.05454545454545454
1035	5508	61	3	0	0	64	3	0.046875
1036	5534	56	2	0	0	58	2	0.034482758620689655
1037	5546	48	2	0	0	50	2	0.04
1038	5462	57	1	0	0	58	1	0.017241379310344827
1039	5526	62	1	0	0	63	1	0.015873015873015872
104	5517	60	2	0	0	62	2	0.03225806451612903
1040	5537	56	4	0	0	60	4	0.06666666666666667
1041	5531	61	3	0	0	64	3	0.046875
1042	5509	57	1	0	0	58	1	0.017241379310344827
1043	5575	60	1	0	0	61	1	0.01639344262295082
1044	5552	52	1	1	0	54	2	0.037037037037037035
1045	5540	46	1	0	0	47	1	0.02127659574468085
1046	5555	42	1	0	0	43	1	0.023255813953488372
1047	5541	55	2	0	0	57	2	0.03508771929824561
1048	5564	53	1	0	0	54	1	0.018518518518518517
1049	5505	57	1	0	0	58	1	0.017241379310344827
105	5542	54	1	0	0	55	1	0.01818181818181818
1050	5506	47	2	0	0	49	2	0.04081632653061224
1051	5525	60	1	0	0	61	1	0.01639344262295082
1052	5549	45	2	0	0	47	2	0.0425531914893617
1053	5523	45	3	0	0	48	3	0.0625
1054	5540	48	1	0	0	49	1	0.02040816326530612
1055	5552	59	1	0	0	60	1	0.016666666666666666
1056	5531	61	2	0	0	63	2	0.031746031746031744
1057	5569	61	1	0	0	62	1	0.016129032258064516
1058	5576	56	4	0	0	60	4	0.06666666666666667
1059	5531	57	2	0	0	59	2	0.03389830508474576
106	5506	50	2	0	0	52	2	0.038461538461538464
1060	5515	70	2	0	0	72	2	0.027777777777777776
1061	5536	67	3	0	0	70	3	0.04285714285714286
1062	5584	42	1	0	0	43	1	0.023255813953488372
1063	5533	58	2	0	0	60	2	0.03333333333333333
1064	5504	43	2	0	0	45	2	0.044444444444444446
1065	5523	48	0	0	0	48	0	0
1066	5502	65	2	0	0	67	2	0.029850746268656716
1067	5537	55	1	0	0	56	1	0.017857142857142856
1068	5538	45	0	0	0	45	0	0
1069	5524	63	1	0	0	64	1	0.015625
107	5558	58	2	0	0	60	2	0.03333333333333333
1070	5538	58	1	0	0	59	1	0.01694915254237288
1071	5531	57	0	0	0	57	0	0
1072	5538	50	2	1	0	53	3	0.05660377358490566
1073	5571	54	3	0	0	57	3	0.05263157894736842
1074	5554	40	2	0	0	42	2	0.047619047619047616
1075	5535	56	2	0	0	58	2	0.034482758620689655
1076	5521	55	1	0	0	56	1	0.017857142857142856
1077	5525	57	2	0	0	59	2	0.03389830508474576
1078	5539	56	1	0	0	57	1	0.017543859649122806
1079	5566	51	1	0	0	52	1	0.019230769230769232
108	5513	54	0	0	0	54	0	0
1080	5525	56	2	0	0	58	2	0.034482758620689655
