# Assembly name:  Gallus_gallus-4.0
# Organism name:  Gallus gallus (chicken)
# Infraspecific name:  breed=Red Jungle fowl, inbred line UCD001
# Isolate:  #256
# Sex:  female
# Taxid:          9031
# BioSample:      SAMN02981218
# BioProject:     PRJNA10808
# Submitter:      International Chicken Genome Consortium
# Date:           2011-11-22
# Synonyms:       galGal4	
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AADN03
# Assembly method: Celera Assembler v. 5.4
# Genome coverage: 12X
# Sequencing technology: Sanger; 454
# GenBank assembly accession: GCA_000002315.2
# RefSeq assembly accession: GCF_000002315.3
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000185.2	GCF_000000185.2	Primary Assembly
## 	GCF_000184395.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Chr1	assembled-molecule	1	Chromosome	CM000093.3	=	NC_006088.3	Primary Assembly	195276750	chr1
Chr2	assembled-molecule	2	Chromosome	CM000094.3	=	NC_006089.3	Primary Assembly	148809762	chr2
Chr3	assembled-molecule	3	Chromosome	CM000095.3	=	NC_006090.3	Primary Assembly	110447801	chr3
Chr4	assembled-molecule	4	Chromosome	CM000096.3	=	NC_006091.3	Primary Assembly	90216835	chr4
Chr5	assembled-molecule	5	Chromosome	CM000097.3	=	NC_006092.3	Primary Assembly	59580361	chr5
Chr6	assembled-molecule	6	Chromosome	CM000098.3	=	NC_006093.3	Primary Assembly	34951654	chr6
Chr7	assembled-molecule	7	Chromosome	CM000099.3	=	NC_006094.3	Primary Assembly	36245040	chr7
Chr8	assembled-molecule	8	Chromosome	CM000100.3	=	NC_006095.3	Primary Assembly	28767244	chr8
Chr9	assembled-molecule	9	Chromosome	CM000101.3	=	NC_006096.3	Primary Assembly	23441680	chr9
Chr10	assembled-molecule	10	Chromosome	CM000102.3	=	NC_006097.3	Primary Assembly	19911089	chr10
Chr11	assembled-molecule	11	Chromosome	CM000103.3	=	NC_006098.3	Primary Assembly	19401079	chr11
Chr12	assembled-molecule	12	Chromosome	CM000104.3	=	NC_006099.3	Primary Assembly	19897011	chr12
Chr13	assembled-molecule	13	Chromosome	CM000105.3	=	NC_006100.3	Primary Assembly	17760035	chr13
Chr14	assembled-molecule	14	Chromosome	CM000106.3	=	NC_006101.3	Primary Assembly	15161805	chr14
Chr15	assembled-molecule	15	Chromosome	CM000107.3	=	NC_006102.3	Primary Assembly	12656803	chr15
Chr16	assembled-molecule	16	Chromosome	CM000108.3	=	NC_006103.3	Primary Assembly	535270	chr16
Chr17	assembled-molecule	17	Chromosome	CM000109.3	=	NC_006104.3	Primary Assembly	10454150	chr17
Chr18	assembled-molecule	18	Chromosome	CM000110.3	=	NC_006105.3	Primary Assembly	11219875	chr18
Chr19	assembled-molecule	19	Chromosome	CM000111.3	=	NC_006106.3	Primary Assembly	9983394	chr19
Chr20	assembled-molecule	20	Chromosome	CM000112.3	=	NC_006107.3	Primary Assembly	14302601	chr20
Chr21	assembled-molecule	21	Chromosome	CM000113.3	=	NC_006108.3	Primary Assembly	6802778	chr21
Chr22	assembled-molecule	22	Chromosome	CM000114.3	=	NC_006109.3	Primary Assembly	4081097	chr22
Chr23	assembled-molecule	23	Chromosome	CM000115.3	=	NC_006110.3	Primary Assembly	5723239	chr23
Chr24	assembled-molecule	24	Chromosome	CM000116.3	=	NC_006111.3	Primary Assembly	6323281	chr24
Chr25	assembled-molecule	25	Chromosome	CM000124.3	=	NC_006112.2	Primary Assembly	2191139	chr25
Chr26	assembled-molecule	26	Chromosome	CM000117.3	=	NC_006113.3	Primary Assembly	5329985	chr26
Chr27	assembled-molecule	27	Chromosome	CM000118.3	=	NC_006114.3	Primary Assembly	5209285	chr27
Chr28	assembled-molecule	28	Chromosome	CM000119.3	=	NC_006115.3	Primary Assembly	4742627	chr28
chr32	assembled-molecule	32	Chromosome	CM000120.2	=	NC_006119.2	Primary Assembly	1028	chr32
ChrW	assembled-molecule	W	Chromosome	CM000121.3	=	NC_006126.3	Primary Assembly	1248174	chrW
ChrZ	assembled-molecule	Z	Chromosome	CM000122.3	=	NC_006127.3	Primary Assembly	82363669	chrZ
ChrE22C19W28_E50C23	assembled-molecule	LGE22C19W28_E50C23	Linkage Group	CM000123.3	=	NC_008465.2	Primary Assembly	965146	chrLGE22C19W28_E50C23
ChrE64	assembled-molecule	LGE64	Linkage Group	CM000367.2	=	NC_008466.2	Primary Assembly	799899	chrLGE64
Chr1_random_7180000966032	unlocalized-scaffold	1	Chromosome	AADN03009256.1	=	NW_003764425.1	Primary Assembly	1250	chr1_AADN03009256_random
Chr1_random_7180000971671	unlocalized-scaffold	1	Chromosome	AADN03009258.1	=	NW_003764451.1	Primary Assembly	20271	chr1_AADN03009258_random
Chr1_random_7180000978946	unlocalized-scaffold	1	Chromosome	AADN03009259.1	=	NW_003764509.1	Primary Assembly	13934	chr1_AADN03009259_random
Chr1_random_7180000971863	unlocalized-scaffold	1	Chromosome	AADN03009260.1	=	NW_003764455.1	Primary Assembly	1343	chr1_AADN03009260_random
Chr1_random_7180000966634	unlocalized-scaffold	1	Chromosome	AADN03009263.1	=	NW_003764427.1	Primary Assembly	3235	chr1_AADN03009263_random
Chr1_random_7180000975558	unlocalized-scaffold	1	Chromosome	AADN03009264.1	=	NW_003764497.1	Primary Assembly	1147	chr1_AADN03009264_random
Chr1_random_7180000965304	unlocalized-scaffold	1	Chromosome	AADN03009265.1	=	NW_003764419.1	Primary Assembly	2021	chr1_AADN03009265_random
Chr1_random_7180000964221	unlocalized-scaffold	1	Chromosome	AADN03009266.1	=	NW_003764407.1	Primary Assembly	1133	chr1_AADN03009266_random
Chr1_random_7180000970950	unlocalized-scaffold	1	Chromosome	AADN03009267.1	=	NW_003764443.1	Primary Assembly	1230	chr1_AADN03009267_random
Chr1_random_7180000971954	unlocalized-scaffold	1	Chromosome	AADN03009268.1	=	NW_003764457.1	Primary Assembly	1225	chr1_AADN03009268_random
Chr1_random_7180000979540	unlocalized-scaffold	1	Chromosome	AADN03009269.1	=	NW_003764521.1	Primary Assembly	4135	chr1_AADN03009269_random
Chr1_random_7180000976464	unlocalized-scaffold	1	Chromosome	AADN03009270.1	=	NW_003764500.1	Primary Assembly	1034	chr1_AADN03009270_random
Chr1_random_7180000970838	unlocalized-scaffold	1	Chromosome	AADN03009271.1	=	NW_003764441.1	Primary Assembly	1303	chr1_AADN03009271_random
Chr1_random_7180000964061	unlocalized-scaffold	1	Chromosome	AADN03009273.1	=	NW_003764403.1	Primary Assembly	1532	chr1_AADN03009273_random
Chr1_random_7180000964260	unlocalized-scaffold	1	Chromosome	AADN03009274.1	=	NW_003764409.1	Primary Assembly	1094	chr1_AADN03009274_random
Chr1_random_7180000962829	unlocalized-scaffold	1	Chromosome	AADN03009275.1	=	NW_003764393.1	Primary Assembly	1029	chr1_AADN03009275_random
Chr1_random_7180000979029	unlocalized-scaffold	1	Chromosome	AADN03009276.1	=	NW_003764515.1	Primary Assembly	4625	chr1_AADN03009276_random
Chr1_random_7180000979332	unlocalized-scaffold	1	Chromosome	AADN03009277.1	=	NW_003764518.1	Primary Assembly	37186	chr1_AADN03009277_random
Chr1_random_7180000964254	unlocalized-scaffold	1	Chromosome	AADN03009278.1	=	NW_003764408.1	Primary Assembly	4007	chr1_AADN03009278_random
Chr1_random_7180000962892	unlocalized-scaffold	1	Chromosome	AADN03009279.1	=	NW_003764395.1	Primary Assembly	1028	chr1_AADN03009279_random
Chr1_random_7180000978993	unlocalized-scaffold	1	Chromosome	AADN03009280.1	=	NW_003764512.1	Primary Assembly	3581	chr1_AADN03009280_random
Chr1_random_7180000979819	unlocalized-scaffold	1	Chromosome	AADN03009281.1	=	NW_003764524.1	Primary Assembly	1268	chr1_AADN03009281_random
Chr1_random_7180000972655	unlocalized-scaffold	1	Chromosome	AADN03009282.1	=	NW_003764469.1	Primary Assembly	1277	chr1_AADN03009282_random
Chr1_random_7180000979822	unlocalized-scaffold	1	Chromosome	AADN03009283.1	=	NW_003764525.1	Primary Assembly	1043	chr1_AADN03009283_random
Chr1_random_7180000964372	unlocalized-scaffold	1	Chromosome	AADN03009284.1	=	NW_003764410.1	Primary Assembly	2672	chr1_AADN03009284_random
Chr1_random_7180000977184	unlocalized-scaffold	1	Chromosome	AADN03009285.1	=	NW_003764505.1	Primary Assembly	1540	chr1_AADN03009285_random
Chr1_random_7180000971066	unlocalized-scaffold	1	Chromosome	AADN03009286.1	=	NW_003764448.1	Primary Assembly	619	chr1_AADN03009286_random
Chr1_random_7180000962131	unlocalized-scaffold	1	Chromosome	AADN03009287.1	=	NW_003764386.1	Primary Assembly	1071	chr1_AADN03009287_random
Chr1_random_7180000978273	unlocalized-scaffold	1	Chromosome	AADN03009288.1	=	NW_003764507.1	Primary Assembly	1042	chr1_AADN03009288_random
Chr1_random_7180000972646	unlocalized-scaffold	1	Chromosome	AADN03009289.1	=	NW_003764468.1	Primary Assembly	1385	chr1_AADN03009289_random
Chr1_random_7180000972503	unlocalized-scaffold	1	Chromosome	AADN03009290.1	=	NW_003764466.1	Primary Assembly	1707	chr1_AADN03009290_random
Chr1_random_7180000964209	unlocalized-scaffold	1	Chromosome	AADN03009291.1	=	NW_003764405.1	Primary Assembly	1196	chr1_AADN03009291_random
Chr1_random_7180000978997	unlocalized-scaffold	1	Chromosome	AADN03009292.1	=	NW_003764513.1	Primary Assembly	6425	chr1_AADN03009292_random
Chr1_random_7180000973592	unlocalized-scaffold	1	Chromosome	AADN03009293.1	=	NW_003764482.1	Primary Assembly	1990	chr1_AADN03009293_random
Chr1_random_7180000979887	unlocalized-scaffold	1	Chromosome	AADN03009294.1	=	NW_003764526.1	Primary Assembly	1117	chr1_AADN03009294_random
Chr1_random_7180000964875	unlocalized-scaffold	1	Chromosome	AADN03009295.1	=	NW_003764414.1	Primary Assembly	1149	chr1_AADN03009295_random
Chr1_random_7180000969101	unlocalized-scaffold	1	Chromosome	AADN03009296.1	=	NW_003764429.1	Primary Assembly	1126	chr1_AADN03009296_random
Chr1_random_7180000972030	unlocalized-scaffold	1	Chromosome	AADN03009298.1	=	NW_003764458.1	Primary Assembly	1174	chr1_AADN03009298_random
Chr1_random_7180000965279	unlocalized-scaffold	1	Chromosome	AADN03009299.1	=	NW_003764418.1	Primary Assembly	1037	chr1_AADN03009299_random
Chr1_random_7180000973557	unlocalized-scaffold	1	Chromosome	AADN03009300.1	=	NW_003764481.1	Primary Assembly	1773	chr1_AADN03009300_random
Chr1_random_7180000975633	unlocalized-scaffold	1	Chromosome	AADN03009301.1	=	NW_003764498.1	Primary Assembly	1412	chr1_AADN03009301_random
Chr1_random_7180000965974	unlocalized-scaffold	1	Chromosome	AADN03009302.1	=	NW_003764424.1	Primary Assembly	1070	chr1_AADN03009302_random
Chr1_random_7180000975500	unlocalized-scaffold	1	Chromosome	AADN03009303.1	=	NW_003764495.1	Primary Assembly	1261	chr1_AADN03009303_random
Chr1_random_7180000961616	unlocalized-scaffold	1	Chromosome	AADN03009304.1	=	NW_003764378.1	Primary Assembly	1092	chr1_AADN03009304_random
Chr1_random_7180000976490	unlocalized-scaffold	1	Chromosome	AADN03009306.1	=	NW_003764501.1	Primary Assembly	1762	chr1_AADN03009306_random
Chr1_random_7180000975461	unlocalized-scaffold	1	Chromosome	AADN03009307.1	=	NW_003764494.1	Primary Assembly	1648	chr1_AADN03009307_random
Chr1_random_7180000970587	unlocalized-scaffold	1	Chromosome	AADN03009310.1	=	NW_003764434.1	Primary Assembly	6629	chr1_AADN03009310_random
Chr1_random_7180000970810	unlocalized-scaffold	1	Chromosome	AADN03009312.1	=	NW_003764440.1	Primary Assembly	2366	chr1_AADN03009312_random
Chr1_random_7180000965048	unlocalized-scaffold	1	Chromosome	AADN03009313.1	=	NW_003764415.1	Primary Assembly	1186	chr1_AADN03009313_random
Chr1_random_7180000975501	unlocalized-scaffold	1	Chromosome	AADN03009314.1	=	NW_003764496.1	Primary Assembly	1413	chr1_AADN03009314_random
Chr1_random_7180000979491	unlocalized-scaffold	1	Chromosome	AADN03009315.1	=	NW_003764520.1	Primary Assembly	10018	chr1_AADN03009315_random
Chr1_random_7180000976850	unlocalized-scaffold	1	Chromosome	AADN03009316.1	=	NW_003764503.1	Primary Assembly	1489	chr1_AADN03009316_random
Chr1_random_7180000961597	unlocalized-scaffold	1	Chromosome	AADN03009318.1	=	NW_003764377.1	Primary Assembly	1168	chr1_AADN03009318_random
Chr1_random_7180000976239	unlocalized-scaffold	1	Chromosome	AADN03009319.1	=	NW_003764499.1	Primary Assembly	1342	chr1_AADN03009319_random
Chr1_random_7180000971050	unlocalized-scaffold	1	Chromosome	AADN03009320.1	=	NW_003764445.1	Primary Assembly	1382	chr1_AADN03009320_random
Chr1_random_7180000971628	unlocalized-scaffold	1	Chromosome	AADN03009321.1	=	NW_003764450.1	Primary Assembly	1339	chr1_AADN03009321_random
Chr1_random_7180000970600	unlocalized-scaffold	1	Chromosome	AADN03009322.1	=	NW_003764435.1	Primary Assembly	23739	chr1_AADN03009322_random
Chr1_random_7180000965142	unlocalized-scaffold	1	Chromosome	AADN03009323.1	=	NW_003764417.1	Primary Assembly	1309	chr1_AADN03009323_random
Chr1_random_7180000979988	unlocalized-scaffold	1	Chromosome	AADN03009325.1	=	NW_003764530.1	Primary Assembly	1152	chr1_AADN03009325_random
Chr1_random_7180000961280	unlocalized-scaffold	1	Chromosome	AADN03009327.1	=	NW_003764374.1	Primary Assembly	1207	chr1_AADN03009327_random
Chr1_random_7180000970355	unlocalized-scaffold	1	Chromosome	AADN03009328.1	=	NW_003764431.1	Primary Assembly	9214	chr1_AADN03009328_random
Chr1_random_7180000961439	unlocalized-scaffold	1	Chromosome	AADN03009329.1	=	NW_003764376.1	Primary Assembly	1656	chr1_AADN03009329_random
Chr1_random_7180000979911	unlocalized-scaffold	1	Chromosome	AADN03009330.1	=	NW_003764527.1	Primary Assembly	1000	chr1_AADN03009330_random
Chr1_random_7180000978947	unlocalized-scaffold	1	Chromosome	AADN03009331.1	=	NW_003764510.1	Primary Assembly	10466	chr1_AADN03009331_random
Chr1_random_7180000971198	unlocalized-scaffold	1	Chromosome	AADN03009332.1	=	NW_003764449.1	Primary Assembly	8286	chr1_AADN03009332_random
Chr1_random_7180000974763	unlocalized-scaffold	1	Chromosome	AADN03009333.1	=	NW_003764489.1	Primary Assembly	1059	chr1_AADN03009333_random
Chr1_random_7180000974878	unlocalized-scaffold	1	Chromosome	AADN03009335.1	=	NW_003764490.1	Primary Assembly	1124	chr1_AADN03009335_random
Chr1_random_7180000973343	unlocalized-scaffold	1	Chromosome	AADN03009336.1	=	NW_003764478.1	Primary Assembly	1378	chr1_AADN03009336_random
Chr1_random_7180000973957	unlocalized-scaffold	1	Chromosome	AADN03009337.1	=	NW_003764486.1	Primary Assembly	1151	chr1_AADN03009337_random
Chr1_random_7180000965955	unlocalized-scaffold	1	Chromosome	AADN03009338.1	=	NW_003764422.1	Primary Assembly	1458	chr1_AADN03009338_random
Chr1_random_7180000962880	unlocalized-scaffold	1	Chromosome	AADN03009339.1	=	NW_003764394.1	Primary Assembly	1450	chr1_AADN03009339_random
Chr1_random_7180000974351	unlocalized-scaffold	1	Chromosome	AADN03009341.1	=	NW_003764488.1	Primary Assembly	1262	chr1_AADN03009341_random
Chr1_random_7180000965320	unlocalized-scaffold	1	Chromosome	AADN03009342.1	=	NW_003764420.1	Primary Assembly	1163	chr1_AADN03009342_random
Chr1_random_7180000962545	unlocalized-scaffold	1	Chromosome	AADN03009343.1	=	NW_003764390.1	Primary Assembly	1195	chr1_AADN03009343_random
Chr1_random_7180000974301	unlocalized-scaffold	1	Chromosome	AADN03009344.1	=	NW_003764487.1	Primary Assembly	1102	chr1_AADN03009344_random
Chr1_random_7180000964707	unlocalized-scaffold	1	Chromosome	AADN03009345.1	=	NW_003764413.1	Primary Assembly	3579	chr1_AADN03009345_random
Chr1_random_7180000979482	unlocalized-scaffold	1	Chromosome	AADN03009346.1	=	NW_003764519.1	Primary Assembly	7642	chr1_AADN03009346_random
Chr1_random_7180000971028	unlocalized-scaffold	1	Chromosome	AADN03009347.1	=	NW_003764444.1	Primary Assembly	1095	chr1_AADN03009347_random
Chr1_random_7180000973023	unlocalized-scaffold	1	Chromosome	AADN03009348.1	=	NW_003764471.1	Primary Assembly	1077	chr1_AADN03009348_random
Chr1_random_7180000975335	unlocalized-scaffold	1	Chromosome	AADN03009349.1	=	NW_003764492.1	Primary Assembly	1021	chr1_AADN03009349_random
Chr1_random_7180000961278	unlocalized-scaffold	1	Chromosome	AADN03009350.1	=	NW_003764373.1	Primary Assembly	1184	chr1_AADN03009350_random
Chr1_random_7180000964211	unlocalized-scaffold	1	Chromosome	AADN03009351.1	=	NW_003764406.1	Primary Assembly	1994	chr1_AADN03009351_random
Chr1_random_7180000970938	unlocalized-scaffold	1	Chromosome	AADN03009352.1	=	NW_003764442.1	Primary Assembly	5465	chr1_AADN03009352_random
Chr1_random_7180000972160	unlocalized-scaffold	1	Chromosome	AADN03009353.1	=	NW_003764460.1	Primary Assembly	1119	chr1_AADN03009353_random
Chr1_random_7180000964064	unlocalized-scaffold	1	Chromosome	AADN03009354.1	=	NW_003764404.1	Primary Assembly	649	chr1_AADN03009354_random
Chr1_random_7180000973126	unlocalized-scaffold	1	Chromosome	AADN03009355.1	=	NW_003764473.1	Primary Assembly	1362	chr1_AADN03009355_random
Chr1_random_7180000970352	unlocalized-scaffold	1	Chromosome	AADN03009357.1	=	NW_003764430.1	Primary Assembly	29476	chr1_AADN03009357_random
Chr1_random_7180000978948	unlocalized-scaffold	1	Chromosome	AADN03009358.1	=	NW_003764511.1	Primary Assembly	21654	chr1_AADN03009358_random
Chr1_random_7180000970672	unlocalized-scaffold	1	Chromosome	AADN03009359.1	=	NW_003764438.1	Primary Assembly	631	chr1_AADN03009359_random
Chr1_random_7180000961778	unlocalized-scaffold	1	Chromosome	AADN03009360.1	=	NW_003764381.1	Primary Assembly	13110	chr1_AADN03009360_random
Chr1_random_7180000972359	unlocalized-scaffold	1	Chromosome	AADN03009361.1	=	NW_003764464.1	Primary Assembly	1138	chr1_AADN03009361_random
Chr1_random_7180000964410	unlocalized-scaffold	1	Chromosome	AADN03009362.1	=	NW_003764411.1	Primary Assembly	1048	chr1_AADN03009362_random
Chr1_random_7180000979944	unlocalized-scaffold	1	Chromosome	AADN03009363.1	=	NW_003764529.1	Primary Assembly	1338	chr1_AADN03009363_random
Chr1_random_7180000973807	unlocalized-scaffold	1	Chromosome	AADN03009365.1	=	NW_003764485.1	Primary Assembly	1768	chr1_AADN03009365_random
Chr1_random_7180000970623	unlocalized-scaffold	1	Chromosome	AADN03009368.1	=	NW_003764437.1	Primary Assembly	13687	chr1_AADN03009368_random
Chr1_random_7180000961829	unlocalized-scaffold	1	Chromosome	AADN03009369.1	=	NW_003764382.1	Primary Assembly	1230	chr1_AADN03009369_random
