# GREAT version 3.0.0	Species assembly: mm10	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1700020N15Rik	mCE835968-Dollo_Conv_Acc_PhyloP (-95803)
3830406C13Rik	mCE1484629-Dollo_Conv_Acc_PhyloP (-246605), mCE1485203-Dollo_Conv_Acc_PhyloP (-42233)
4930452B06Rik	mCE1481788-Dollo_Conv_Acc_PhyloP (-665106)
4930453N24Rik	mCE163622-Dollo_Conv_Acc_PhyloP (+206229)
4930555F03Rik	mCE871157-Dollo_Conv_Acc_PhyloP (-55759)
8030423J24Rik	mCE484827-Dollo_Conv_Acc_PhyloP (+517143)
9230102O04Rik	mCE8224-Dollo_Conv_Acc_PhyloP (-123731)
9330182O14Rik	mCE560044-Dollo_Conv_Acc_PhyloP (+386977)
A130050O07Rik	mCE172967-Dollo_Conv_Acc_PhyloP (-885494), mCE1229527-Dollo_Conv_Acc_PhyloP (+35714)
A230072I06Rik	mCE245251-Dollo_Conv_Acc_PhyloP (+19543)
A330008L17Rik	mCE1433355-Dollo_Conv_Acc_PhyloP (+784758)
Adamts9	mCE1487594-Dollo_Conv_Acc_PhyloP (-184971)
Adarb2	mCE352841-Dollo_Conv_Acc_PhyloP (+445923), mCE352804-Dollo_Conv_Acc_PhyloP (+475669)
Aff2	mCE835968-Dollo_Conv_Acc_PhyloP (+489203)
Apob	mCE777269-Dollo_Conv_Acc_PhyloP (-738783)
Arid1b	mCE690803-Dollo_Conv_Acc_PhyloP (-959027)
Arx	mCE208430-Dollo_Conv_Acc_PhyloP (+216468)
Atp13a4	mCE1946212-Dollo_Conv_Acc_PhyloP (+54631)
Atp13a5	mCE1946212-Dollo_Conv_Acc_PhyloP (-108234)
B230120H23Rik	mCE1177142-Dollo_Conv_Acc_PhyloP (-25176)
Barhl2	mCE1252600-Dollo_Conv_Acc_PhyloP (-99600)
Bend3	mCE722199-Dollo_Conv_Acc_PhyloP (-169955)
Bmp5	mCE752642-Dollo_Conv_Acc_PhyloP (+169479)
Bmp7	mCE1747138-Dollo_Conv_Acc_PhyloP (+4058)
Brms1l	mCE1022900-Dollo_Conv_Acc_PhyloP (+357852)
C030037F17Rik	mCE757000-Dollo_Conv_Acc_PhyloP (-105669)
C130026L21Rik	mCE1609647-Dollo_Conv_Acc_PhyloP (+495796)
C230029F24Rik	mCE1159608-Dollo_Conv_Acc_PhyloP (+116548)
Cadm1	mCE150404-Dollo_Conv_Acc_PhyloP (+46723)
Cadm2	mCE171533-Dollo_Conv_Acc_PhyloP (+360044)
Camkmt	mCE646206-Dollo_Conv_Acc_PhyloP (+488426)
Camta1	mCE1755181-Dollo_Conv_Acc_PhyloP (+700926)
Car8	mCE527946-Dollo_Conv_Acc_PhyloP (+641096)
Casz1	mCE1765735-Dollo_Conv_Acc_PhyloP (+114880), mCE1765719-Dollo_Conv_Acc_PhyloP (+117477)
Ccdc178	mCE518162-Dollo_Conv_Acc_PhyloP (+407411)
Cdc42ep4	mCE1680625-Dollo_Conv_Acc_PhyloP (-239785)
Cdh13	mCE1443331-Dollo_Conv_Acc_PhyloP (+99130)
Celf2	mCE12057-Dollo_Conv_Acc_PhyloP (+34588), mCE12775-Dollo_Conv_Acc_PhyloP (+342943)
Cep120	mCE1952825-Dollo_Conv_Acc_PhyloP (+140424), mCE1952634-Dollo_Conv_Acc_PhyloP (+263503)
Cgnl1	mCE1364007-Dollo_Conv_Acc_PhyloP (-108144)
Chd7	mCE528829-Dollo_Conv_Acc_PhyloP (+176677)
Cln8	mCE757000-Dollo_Conv_Acc_PhyloP (-35015)
Clvs1	mCE528829-Dollo_Conv_Acc_PhyloP (-401275)
Clybl	mCE251826-Dollo_Conv_Acc_PhyloP (+188608)
Cntn6	mCE1500011-Dollo_Conv_Acc_PhyloP (+60582)
Col13a1	mCE1088184-Dollo_Conv_Acc_PhyloP (+96037)
Col22a1	mCE584057-Dollo_Conv_Acc_PhyloP (-467800)
Crb2	mCE1653033-Dollo_Conv_Acc_PhyloP (+427797)
Cryba4	mCE1609647-Dollo_Conv_Acc_PhyloP (+175300)
Csnka2ip	mCE163622-Dollo_Conv_Acc_PhyloP (-85784)
Ctbp2	mCE1137906-Dollo_Conv_Acc_PhyloP (-487464), mCE1137807-Dollo_Conv_Acc_PhyloP (-433334)
Dach1	mCE266345-Dollo_Conv_Acc_PhyloP (-439951), mCE266512-Dollo_Conv_Acc_PhyloP (-252021), mCE266727-Dollo_Conv_Acc_PhyloP (+10381), mCE266746-Dollo_Conv_Acc_PhyloP (+13560), mCE266816-Dollo_Conv_Acc_PhyloP (+32364)
Dclk2	mCE857345-Dollo_Conv_Acc_PhyloP (+142789), mCE857642-Dollo_Conv_Acc_PhyloP (+365770)
