hog	anaPla	aptFor	aptHaa	aptOwe	aptRow	aquChr	balReg	calAnn	casCas	chaPel	chaVoc	colLiv	corBra	cryCin	cucCan	droNov	egrGar	eudEle	falPer	ficAlb	fulGla	galGal	geoFor	halLeu	lepDis	melGal	melUnd	mesUni	nipNip	notPer	picPub	pseHum	pygAde	rheAme	rhePen	serCan	strCam	taeGut	tinGut	align_len	avg_gapped_len	avg_ident	gaps_bp_tot	gaps_bp_avg	missing_ct	dup_ct
100	1	1	1	1	1	2	2	1	1	NA	2	NA	1	1	2	1	1	1	2	NA	NA	NA	1	2	NA	NA	NA	NA	2	NA	NA	2	NA	NA	NA	NA	1	NA	NA	1528	437.76	66.12	0.59	0.67	17	8
1000	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	2	1	1	1	2	1	1	1	1	1923	1253.06	91.93	0.09	0.36	1	3
10003	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	NA	1	1	1	1	NA	1	1	NA	1	NA	1	1	NA	1	1	1	NA	1	1	1	NA	1	NA	1	1200	1015.43	73.01	0.1	0.21	9	0
10004	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1470	1038.6	86.8	0.11	0.35	0	0
10005	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	NA	557	413.8	97.15	0.08	0.09	5	0
10009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	1	1	1	1	1	1	1	325	286.7	90.28	0.04	0.04	2	0
10012	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	206	201.93	90.56	0.01	0.03	3	0
10013	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	600	553.67	90.75	0.02	0.03	0	0
10017	NA	1	1	1	1	1	NA	1	1	NA	NA	1	NA	1	1	1	1	1	1	1	NA	1	NA	1	NA	1	NA	NA	1	1	NA	1	NA	1	1	1	NA	1	NA	618	483.52	75.77	0.12	0.13	14	0
1002	NA	1	1	1	1	1	NA	1	1	NA	1	1	NA	1	1	1	1	1	1	1	NA	1	NA	1	1	1	1	NA	1	1	1	1	NA	1	1	1	NA	NA	NA	548	389.6	71.41	0.28	0.4	11	0
10020	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	189	152.33	95.1	0	0	0	0
10022	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	831	791.24	91.86	0.02	0.02	1	0
10023	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	287	200.95	84.95	0.09	0.11	1	0
10029	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	1	1	NA	295	185.82	87.1	0.19	0.23	4	0
10031	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	905	804.26	79.34	0.04	0.04	1	0
10032	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	504	424.1	97.27	0.05	0.08	2	0
10033	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	391	311	92.55	0.08	0.1	0	0
10034	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	924	829.87	95.75	0.05	0.47	0	0
10036	1	1	NA	NA	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	2	1	242	156.74	81.75	0.19	0.21	4	1
10037	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	601	473.79	84.46	0.05	0.05	0	0
10038	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	270	254.64	77.78	0.03	0.04	4	0
10039	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	223	132.59	97.58	0.07	0.07	1	0
10046	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	415	330.31	93.28	0.06	0.08	3	0
10047	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1123	1052.91	91.05	0.02	0.02	1	0
10048	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	832	722.3	86.68	0.01	0.01	0	0
10049	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	474	421.3	97.4	0.02	0.02	0	0
10050	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1390	1253.95	81.17	0.03	0.05	0	0
10053	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	725	481.31	95.46	0.09	0.09	0	0
10054	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	605	524.47	98.43	0.04	0.04	1	0
10055	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	373	329.67	98.32	0.06	0.07	0	0
10056	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	553	543.79	98.35	0	0	1	0
10057	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	NA	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	211	205.38	94.08	0.01	0.01	1	1
10061	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1161	1003.88	82.65	0.08	0.12	0	0
