chr7	115453102	115453555	mCE45082-Acc_PhyloP
chr12	17848431	17849126	mCE119669-Conv_Acc
chr21	34291974	34292048	mCE187412-Acc_PhyloP
chr13	72426797	72427393	mCE266746-Dollo_Conv_Acc_PhyloP
chr13	72301790	72301921	mCE267012-Acc_PhyloP
chr13	71533119	71533505	mCE267892-Acc_PhyloP
chr5	2206164	2206977	mCE482598-Conv_Acc_PhyloP
chr5	3182008	3183045	mCE483595-Dollo_Conv_Acc_PhyloP
chr5	3183064	3183267	mCE483596-Dollo_Conv_Acc_PhyloP
chr5	3187298	3187868	mCE483610-Acc_PhyloP
chr18	22864920	22865575	mCE512044-Conv_Acc_PhyloP
chr2	60352656	60353318	mCE595991-Acc
chr2	45031385	45032531	mCE646019-Acc_PhyloP
chr2	45107163	45107195	mCE646150-Acc
chr6	38359611	38359753	mCE653602-Acc_PhyloP
chr6	100658033	100658384	mCE727369-Acc_PhyloP
chr6	51148875	51149247	mCE789128-Acc_PhyloP
chrX	139170240	139170471	mCE818632-Acc_PhyloP
chr2	85999537	85999796	mCE946146-Acc_PhyloP
chr15	40384480	40384932	mCE1009721-Acc_PhyloP
chr2	144103990	144104262	mCE1215679-Acc_PhyloP
chr3	71290599	71290782	mCE1495465-Acc_PhyloP
chr3	71447762	71448241	mCE1495839-Dollo_Conv_Acc_PhyloP
chr1	10732541	10732928	mCE1765719-Dollo_Conv_Acc_PhyloP
chr11	116522397	116522450	mCE1817617-Acc_PhyloP
chr18	42943087	42943416	mCE1869514-Acc
chr5	77143481	77144034	mCE1899821-Acc_PhyloP
chr9	82010574	82011450	mCE1915517-Dollo_Conv_Acc_PhyloP
