targets	tree	gene	Rho	N	P	p.adj	direction
vl	extsub	HOG10003	NA	NA	NA	NA	NA
vl	extsub	HOG10004	0.2463472873201668	53	0.03112734050391192	0.7695736346789653	up
vl	extsub	HOG10005	-0.27305458983664554	49	0.02181011914372238	0.7547899871204448	down
vl	extsub	HOG10009	-0.06293265114709233	57	0.5674619817373963	0.920571675456712	down
vl	extsub	HOG10013	0.038987241821011126	61	0.7137155869952381	0.9517167702316973	up
vl	extsub	HOG10017	NA	NA	NA	NA	NA
vl	extsub	HOG10020	-0.0637973047980182	61	0.5482839227232152	0.9121965087340681	down
vl	extsub	HOG10022	-0.04962012595401416	61	0.6405527209708475	0.9327939544785839	down
vl	extsub	HOG10023	-0.014921426408821102	59	0.8902300549434975	0.9758031753047817	down
vl	extsub	HOG10029	-0.026394352212875016	53	0.8173613313851769	0.9678893587345072	down
vl	extsub	HOG10031	0.05718776312789587	53	0.616814408971861	0.9252490155211508	up
vl	extsub	HOG10032	0.13536040812270764	51	0.24567072743904125	0.8533196298019604	up
vl	extsub	HOG10033	-0.2197462720820627	61	0.03865734996987974	0.769653865364172	down
vl	extsub	HOG10034	-0.08151877835302326	61	0.4430262545390005	0.8925338441032591	down
vl	extsub	HOG10037	-0.02481006297700708	61	0.8154018422869038	0.9678893587345072	down
vl	extsub	HOG10038	NA	NA	NA	NA	NA
vl	extsub	HOG10039	NA	NA	NA	NA	NA
vl	extsub	HOG10046	-0.019666453483466354	57	0.8581847161443136	0.9724551018392091	down
vl	extsub	HOG10047	-0.03357320941984748	59	0.7561583284149304	0.95887032358128	down
vl	extsub	HOG10048	0.08952855845292662	59	0.4076259477027808	0.8824165049970167	up
vl	extsub	HOG10049	-0.017721473555005057	61	0.8675594153624533	0.9724551018392091	down
vl	extsub	HOG10050	-0.09046568602394522	57	0.4111036791092174	0.8824165049970167	down
vl	extsub	HOG10053	-0.2126576826600607	61	0.04538031735411386	0.77912700704076	down
vl	extsub	HOG10054	0.13069280784261425	51	0.2623316754083572	0.8533196298019604	up
vl	extsub	HOG10061	-0.0318986523990091	61	0.7640499234950986	0.95887032358128	down
vl	extsub	HOG10064	0	61	1	1	up
vl	extsub	HOG10065	0.08860736777502529	61	0.4043955651266186	0.8824165049970167	up
vl	extsub	HOG10066	NA	NA	NA	NA	NA
vl	extsub	HOG10067	NA	NA	NA	NA	NA
vl	extsub	HOG10069	0.1240503148850354	61	0.2430830397506913	0.8533196298019604	up
vl	extsub	HOG10071	-0.007460713204410551	59	0.9449844010606654	0.9837258848247808	down
vl	extsub	HOG10074	NA	NA	NA	NA	NA
vl	extsub	HOG10080	-0.014177178844004046	61	0.8938711386490852	0.9758031753047817	down
vl	extsub	HOG10083	NA	NA	NA	NA	NA
vl	extsub	HOG10085	-0.02199529351072918	53	0.8473896596867144	0.9724551018392091	down
vl	extsub	HOG10087	-0.11437552625579174	53	0.3169522980561002	0.8546673444459191	down
vl	extsub	HOG10088	-0.13429283767938993	59	0.21419302571912832	0.8533196298019604	down
vl	extsub	HOG10090	-0.02126576826600607	61	0.8413936112302458	0.9714605712195501	down
vl	extsub	HOG10096	-0.019666453483466354	57	0.8581847161443136	0.9724551018392091	down
vl	extsub	HOG10098	-0.14175355088380048	59	0.1898156834617642	0.8497776738799564	down
vl	extsub	HOG10099	0.04326619766362597	57	0.6942397677534013	0.9496947154076951	up
vl	extsub	HOG10100	-0.10987313604103136	61	0.301179227886229	0.8533196298019604	down
vl	extsub	HOG10101	-0.01662127982237257	55	0.8821455812960056	0.9758031753047817	down
vl	extsub	HOG10103	-0.1275946095960364	61	0.22988031347145332	0.8533196298019604	down
vl	extsub	HOG10106	0	61	1	1	up
vl	extsub	HOG10110	-0.16205747826813255	55	0.14833541058929484	0.8497776738799564	down
vl	extsub	HOG10118	0.05670871537601618	61	0.5935976334169444	0.92474201199293	up
vl	extsub	HOG10122	-0.010632884133003034	61	0.9203001829411458	0.9819506391026592	down
vl	extsub	HOG10124	NA	NA	NA	NA	NA
vl	extsub	HOG10125	NA	NA	NA	NA	NA
vl	extsub	HOG10127	0.08439869140405408	49	0.4783561211722368	0.9019697548233759	up
vl	extsub	HOG10131	-0.10632884133003034	61	0.3170415020546738	0.8546673444459191	down
vl	extsub	HOG10132	-0.13468319901803844	61	0.2050226794013077	0.8533196298019604	down
vl	extsub	HOG10134	NA	NA	NA	NA	NA
vl	extsub	HOG10136	-0.11715583722580124	35	0.40939548620991867	0.8824165049970167	down
vl	extsub	HOG10137	0.05670871537601618	61	0.5935976334169444	0.92474201199293	up
vl	extsub	HOG10138	0.05316442066501517	61	0.6168793360668248	0.9252490155211508	up
vl	extsub	HOG10139	0.11341743075203237	61	0.28585455657492786	0.8533196298019604	up
vl	extsub	HOG10140	0.23037915621506574	61	0.03016847439020881	0.7695736346789653	up
vl	extsub	HOG10144	-0.19848050381605664	61	0.06180326148000753	0.8013805649488805	down
vl	extsub	HOG10146	NA	NA	NA	NA	NA
vl	extsub	HOG10152	0.12310176787277409	59	0.25486661805448224	0.8533196298019604	up
vl	extsub	HOG10154	0.1495679958729584	53	0.19064934010323462	0.8497776738799564	up
vl	extsub	HOG10157	NA	NA	NA	NA	NA
vl	extsub	HOG10159	-0.12050602017403439	61	0.2568098638611724	0.8533196298019604	down
