chrm	start	stop	ChIP	ATAC	
NC_006088.3	5619456	5619946	0.000000	0.000000	
NC_006088.3	4189421	4189659	0.000000	0.000000	
NC_006088.3	4356820	4357038	0.000000	0.000000	
NC_006088.3	4365041	4365188	0.000000	0.000000	
NC_006088.3	4566292	4566759	0.000000	0.000000	
NC_006088.3	4568632	4569005	0.000000	0.000000	
NC_006088.3	5007696	5007787	0.000000	1.000000	
NC_006088.3	5347614	5347952	0.000000	0.000000	
NC_006088.3	5849595	5849805	0.000000	0.000000	
NC_006088.3	9024355	9024613	0.375969	0.000000	
NC_006088.3	10446976	10447256	0.000000	0.000000	
NC_006088.3	15833807	15833999	0.000000	0.000000	
NC_006088.3	16910187	16910324	0.000000	0.000000	
NC_006088.3	18679613	18679697	0.000000	0.000000	
NC_006088.3	21735573	21735739	0.000000	0.000000	
NC_006088.3	25352697	25353110	1.000000	1.000000	
NC_006088.3	25365991	25366511	0.000000	0.000000	
NC_006088.3	25408814	25409051	1.000000	1.000000	
NC_006088.3	25640993	25641410	0.000000	0.419664	
NC_006088.3	25735437	25735702	0.000000	0.000000	
NC_006088.3	25780777	25781721	0.000000	0.000000	
NC_006088.3	26030694	26030762	0.000000	0.000000	
NC_006088.3	26284283	26284839	0.000000	0.000000	
NC_006088.3	29226796	29226852	0.000000	0.000000	
NC_006088.3	31554680	31554859	0.000000	0.000000	
NC_006088.3	38660535	38660655	0.000000	0.000000	
NC_006088.3	43627276	43627369	0.000000	0.000000	
NC_006088.3	61913794	61913845	0.000000	0.000000	
NC_006088.3	66053140	66053402	0.000000	0.000000	
NC_006088.3	66103177	66103366	0.000000	0.000000	
NC_006088.3	71340452	71340601	0.000000	0.000000	
NC_006088.3	80437186	80437291	0.000000	0.000000	
NC_006088.3	80728547	80728795	0.000000	0.000000	
NC_006088.3	81202963	81203156	0.000000	0.000000	
NC_006088.3	81341807	81342059	0.000000	0.000000	
NC_006088.3	88273408	88274132	0.000000	0.000000	
NC_006088.3	92601846	92601987	0.000000	0.000000	
NC_006088.3	92959178	92959292	0.000000	0.000000	
NC_006088.3	94427229	94427401	0.000000	0.000000	
NC_006088.3	96238004	96238080	0.000000	0.000000	
NC_006088.3	96344973	96345415	0.000000	0.000000	
NC_006088.3	96955085	96955693	0.000000	0.000000	
NC_006088.3	106083553	106083629	0.000000	0.000000	
NC_006088.3	110024325	110024430	0.000000	0.000000	
NC_006088.3	117420109	117420414	1.000000	0.000000	
NC_006088.3	118093537	118093807	0.000000	0.000000	
NC_006088.3	124890914	124890967	0.000000	0.000000	
NC_006088.3	128116124	128116236	0.000000	0.000000	
NC_006088.3	129003993	129004722	0.000000	0.000000	
NC_006088.3	129114776	129115164	1.000000	0.649485	
NC_006088.3	131160677	131160806	0.000000	0.000000	
NC_006088.3	133474306	133474677	0.000000	0.000000	
NC_006088.3	133637094	133637360	0.000000	0.000000	
NC_006088.3	133952467	133952644	0.000000	0.000000	
NC_006088.3	133952851	133953069	0.000000	0.000000	
NC_006088.3	134187547	134188114	0.000000	0.000000	
NC_006088.3	137330727	137330786	0.000000	0.000000	
NC_006088.3	139071717	139071862	0.000000	0.000000	
NC_006088.3	139240310	139240693	0.000000	0.000000	
NC_006088.3	139711167	139711585	0.000000	0.000000	
NC_006088.3	141204281	141204405	0.000000	0.314516	
NC_006088.3	141877777	141877877	0.000000	0.000000	
NC_006088.3	143593621	143593720	1.000000	0.000000	
NC_006088.3	144911244	144911580	0.000000	0.000000	
NC_006088.3	145427379	145427785	0.000000	0.000000	
NC_006088.3	151869702	151870077	0.760000	0.000000	
NC_006088.3	152832957	152833599	0.000000	0.000000	
NC_006088.3	155258240	155258458	0.000000	0.000000	
NC_006088.3	155476457	155476708	0.000000	0.000000	
NC_006088.3	155514381	155514532	0.000000	0.000000	
NC_006088.3	155584360	155584552	0.000000	0.000000	
NC_006088.3	155688411	155688947	0.000000	0.000000	
NC_006088.3	155767075	155767338	0.000000	0.000000	
NC_006088.3	155868573	155868874	0.000000	0.000000	
NC_006088.3	155873125	155873712	1.000000	0.000000	
NC_006088.3	155896690	155897105	0.000000	0.000000	
NC_006088.3	156442528	156442915	0.000000	0.000000	
NC_006088.3	156606469	156606568	0.000000	0.000000	
NC_006088.3	158233854	158234002	0.000000	0.000000	
NC_006088.3	164500481	164500842	0.000000	0.000000	
NC_006088.3	164724028	164724272	0.000000	0.000000	
NC_006088.3	164764512	164764814	0.000000	0.000000	
NC_006088.3	164824772	164825384	0.000000	0.000000	
NC_006088.3	164942707	164942846	0.000000	0.000000	
NC_006088.3	164951254	164951683	1.000000	0.000000	
NC_006088.3	165965421	165965550	0.000000	0.000000	
NC_006088.3	166092335	166092555	0.000000	0.000000	
NC_006088.3	166129750	166129866	0.000000	0.000000	
NC_006088.3	168888315	168888567	0.000000	0.000000	
NC_006088.3	168941356	168941461	0.000000	0.000000	
NC_006088.3	170671368	170671455	1.000000	1.000000	
NC_006088.3	173513596	173513956	0.000000	0.994444	
