# Assembly name:  Gallus_gallus-5.0
# Organism name:  Gallus gallus (chicken)
# Infraspecific name:  breed=Red Jungle fowl, inbred line UCD001
# Isolate:  RJF #256
# Sex:  female
# Taxid:          9031
# BioSample:      SAMN02981218
# BioProject:     PRJNA10808
# Submitter:      International Chicken Genome Consortium
# Date:           2015-12-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    AADN04
# Assembly method: MHAP/PBcR v. 8.2beta
# Genome coverage: 70x
# Sequencing technology: Sanger; 454; Illumina; PacBio
# RefSeq category: Representative Genome
# GenBank assembly accession: GCA_000002315.3
# RefSeq assembly accession: GCF_000002315.4
# RefSeq assembly and GenBank assemblies identical: no
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000000185.3	GCF_000000185.3	Primary Assembly
## 	GCF_000184395.1	non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
chr1	assembled-molecule	1	Chromosome	CM000093.4	=	NC_006088.4	Primary Assembly	196202544	na
chr2	assembled-molecule	2	Chromosome	CM000094.4	=	NC_006089.4	Primary Assembly	149560735	na
chr3	assembled-molecule	3	Chromosome	CM000095.4	=	NC_006090.4	Primary Assembly	111302122	na
chr4	assembled-molecule	4	Chromosome	CM000096.4	=	NC_006091.4	Primary Assembly	91282656	na
chr5	assembled-molecule	5	Chromosome	CM000097.4	=	NC_006092.4	Primary Assembly	59825302	na
chr6	assembled-molecule	6	Chromosome	CM000098.4	=	NC_006093.4	Primary Assembly	35467016	na
chr7	assembled-molecule	7	Chromosome	CM000099.4	=	NC_006094.4	Primary Assembly	36946936	na
chr8	assembled-molecule	8	Chromosome	CM000100.4	=	NC_006095.4	Primary Assembly	29963013	na
chr9	assembled-molecule	9	Chromosome	CM000101.4	=	NC_006096.4	Primary Assembly	24091566	na
chr10	assembled-molecule	10	Chromosome	CM000102.4	=	NC_006097.4	Primary Assembly	20435342	na
chr11	assembled-molecule	11	Chromosome	CM000103.4	=	NC_006098.4	Primary Assembly	20218793	na
chr12	assembled-molecule	12	Chromosome	CM000104.4	=	NC_006099.4	Primary Assembly	19948154	na
chr13	assembled-molecule	13	Chromosome	CM000105.4	=	NC_006100.4	Primary Assembly	18407460	na
chr14	assembled-molecule	14	Chromosome	CM000106.4	=	NC_006101.4	Primary Assembly	15595052	na
chr15	assembled-molecule	15	Chromosome	CM000107.4	=	NC_006102.4	Primary Assembly	12762846	na
chr16	assembled-molecule	16	Chromosome	CM000108.4	=	NC_006103.4	Primary Assembly	652338	na
chr17	assembled-molecule	17	Chromosome	CM000109.4	=	NC_006104.4	Primary Assembly	10956400	na
chr18	assembled-molecule	18	Chromosome	CM000110.4	=	NC_006105.4	Primary Assembly	11053727	na
chr19	assembled-molecule	19	Chromosome	CM000111.4	=	NC_006106.4	Primary Assembly	9979828	na
chr20	assembled-molecule	20	Chromosome	CM000112.4	=	NC_006107.4	Primary Assembly	14109371	na
chr21	assembled-molecule	21	Chromosome	CM000113.4	=	NC_006108.4	Primary Assembly	6862722	na
chr22	assembled-molecule	22	Chromosome	CM000114.4	=	NC_006109.4	Primary Assembly	4729743	na
